verdict,severity,issue_type,root,example_word,langs,current_ja,current_zh,current_ko,recommend_ja,recommend_zh,recommend_ko,reason
confirmed,high,mistranslation,german,alt/german,ko,ドイツの,德,도덕적 선,,,독일의/게르만,KOの「도덕적 선(道徳的善)」はgerman(ドイツ/ゲルマン)と全く無関係な誤訳で、例語alt/german(高地ドイツ語)にも合わない。
confirmed,high,mistranslation,cikl,po/cikl,ja,ポー,周期,주기,周期/サイクル,,,JAの「ポー」はcikl(周期・サイクル)の訳として無意味で、ZH/KOの「周期/주기」と乖離した明らかな誤り。
confirmed,high,mistranslation,mal,po/mal/grand,ja,ポー,相反,정반대,反対(逆/正反対),,,JAの「ポー」は例語 po/mal/grand の先頭「po」を誤って音写したもので、超高頻度(883)の反対接頭辞 mal の意味になっておらず、正しいZH「相反」KO「정반대」と乖離している。
confirmed,high,mistranslation,gen,gen/manipul/ad,ja|zh|ko,天才,天才,천재,遺伝子,基因,유전자,例語 gen/manipul/ad(遺伝子操作)の語根 gen は「遺伝子(geno)」であり、「天才(genio)」ではないため全言語で誤訳。
confirmed,high,mistranslation,ŝos,suk/ŝos,zh|ko,若枝を伸ばす,公路,포장도로,若枝/新芽を出す,嫩芽/新枝,새순/어린싹,ŝos は「若枝・新芽(ŝoso)」の意。ZH「公路」・KO「포장도로」は「舗装道路(ŝoseo)」と取り違えた誤訳で、JAのみ正しい。
confirmed,high,mistranslation,drag,drag/il,zh|ko,浚渫する,龙,용,浚渫する,疏浚/挖泥,준설하다,drag は「浚渫する(dragi)」の意(例 drag/il=浚渫機)だが、ZH「龙」・KO「용」は音写で「竜(dragon)」と混同した誤訳。
confirmed,high,mistranslation,tin,tin/ist,zh,桶,蛾,통,,桶/大缸/木盆,,tin は「桶・大桶(tino)」(例 tin/ist=桶職人)だが、ZH「蛾」は「蛾(tineo)」と取り違えた誤訳。JA/KO は正しい。
confirmed,high,mistranslation,part,urb/o/part,ja|zh|ko,党,政党,정당,部分,部分,부분,例語 urb/o/part(=都市の一部)が示すとおり part は「部分」を表す語根であり、「党/政党」は別語根 parti(政党)の意味を当てた誤り。
confirmed,high,jck_inconsistency,lit,lit,zh|ko,ベッド,可溶,가용,ベッド,床,침대,lito=「ベッド」でJAは正しいが、ZH「可溶」・KO「가용(可溶)」は無関係な語義で、3言語が分裂した明白な誤り。
confirmed,high,jck_inconsistency,hum,hum/iĝ,zh|ko,腐植土,人类,인간,腐植土,腐殖质/腐殖土,부식토,例語 hum/iĝ(=腐植化)からJA「腐植土」が正しく、ZH「人类」KO「인간」は human(人間)と取り違えた誤り。
confirmed,high,mistranslation,rad,muel/rad,ja|zh|ko,光線,光线,광선,車輪,车轮,바퀴,例語 muel/rad(=水車の輪)が示すとおり rad は「車輪」であり、「光線」は別語根 radi(光線)の意味を当てた誤り。
confirmed,high,jck_inconsistency,morf,meta/morf,zh|ko,形,超,초,形,形,형,morf は「形・形態」を意味し JA 形 は正しいが、ZH「超」・KO「초」は隣接語根 meta(4-92 超/超/초)の意味が誤って混入しており、形とは全く無関係。
confirmed,high,mistranslation,hor,po/hor,ja,ポー,小时,한 시간,時間,,,hor は「時間」の意味で ZH 小时・KO 한 시간 は正しいが、JA「ポー」は例語 po/hor の接頭辞 po を音写したもので、語根 hor の訳になっていない。
confirmed,high,mistranslation,grand,po/mal/grand,ja,正反対,大的,큰,大きい,大,큰,grand は「大きい」で ZH 大的・KO 큰 は正しいが、JA「正反対」は意味が全く逆・無関係で明らかな誤り。
confirmed,high,root_faithfulness,ad,odise/ad,ja|zh|ko,叙事詩,史诗,서사시,継続/反復,持续/反复,계속/반복,「-ad」は継続・反復の行為を表す接辞なのに、例語 odise/ad(オデュッセイア)全体の訳『叙事詩』を当てており語根忠実でない。
confirmed,high,root_faithfulness,ar,mont/ar,ja|zh|ko,脈,脉,맥,群/集合,群/集合,무리/집합,「-ar」は集合を表す接辞なのに、mont/ar(山脈)の『脈』を語義に当てており全体語由来で語根忠実でない。
confirmed,high,mistranslation,grand,po/grand,ja,ポー,大的,큰,大きい/大,,,grand の中核義は『大きい』だが JA 欄が『ポー』となっており意味を成さない誤り(前置詞 po の混入と思われる)。
confirmed,mid,root_faithfulness,glan,mar/glan,ja|zh|ko,フジツボ,藤壶,따개비,どんぐり/亀頭,橡实/龟头,도토리/귀두,「フジツボ」はmar/glan(海のドングリ＝フジツボ)の合成的全体語訳であり、語根glan自身は「ドングリ/亀頭」を意味する。
confirmed,mid,root_faithfulness,mari,mari/best,ja|zh|ko,テントウムシ,瓢虫,무당벌레,マリア,玛丽,마리아,「テントウムシ」はmari/best(マリアの虫)の全体語訳で、語根mari自身は人名「マリア」を指す。
confirmed,mid,root_faithfulness,lapon,lapon/i,ja|zh|ko,ラップランド,拉普兰,라플란드,ラップ人/サーミ人,拉普人/萨米人,라프인/사미인,「ラップランド」は地名でlapon/i(＋国-i)の全体語訳であり、語根lapon自身は民族「ラップ人/サーミ人」を指す。
confirmed,mid,root_faithfulness,fon,anti/fon,ja|zh|ko,唱,唱,창,音/声,音/声,소리/음,「唱(歌う)」はanti/fon(交唱)の全体語義で、語根fon自身は「音・声」(別行0-298のfon=音と不整合)。
confirmed,mid,root_faithfulness,moder,moder/ig/aĵ,ja|zh|ko,減速,慢化,감속,和らげる/加減する,缓和/使适度,완화하다/조절하다,「減速/慢化」はmoder/ig/aĵ(減速材=モデレーター)の応用義で、語根moder自身は「和らげる・適度にする」を意味する。
confirmed,mid,mistranslation,fakultat,fakultat/estr,ko,学部,学院,학술원,,,학부/단과대학,KOの「학술원(学術院＝アカデミー)」は大学のfakultat(学部)とは別物で、例語fakultat/estr(学部長)にも合わない。
confirmed,mid,mistranslation,tapiŝ,tapiŝ/bomb/ad,zh,絨毯,挂毯,카펫,,地毯,,ZHの「挂毯(壁掛けタペストリー)」は床の敷物tapiŝ(絨毯)と異なり、例語tapiŝ/bomb/ad(絨毯爆撃=地毯式轰炸)にも合わない。
confirmed,mid,mistranslation,ĉel,sun/ĉel,ja|ko,独居房,小室,독방,細胞/電池セル/小室,,세포/전지/칸,JA「独居房」KO「독방」は監獄の独房を指し、例語sun/ĉel(太陽電池のセル)に不適切かつZH「小室」とも不整合。
confirmed,mid,root_faithfulness,muŝ,muŝ/bugr/ad,ja|zh|ko,些細,细枝,사소,蝿(ハエ),苍蝇,파리,語根 muŝ の中核義は昆虫の「蝿」だが、全体語 muŝ/bugr/ad(重箱の隅をつつく=瑣末)の合成的ニュアンス「些細」を語根に当てており語根忠実性違反。
confirmed,mid,mistranslation,bar,mal/bar,ja|zh|ko,圧,压,압,妨げる(塞ぐ/障壁),阻挡,막다,例語 mal/bar(=閉塞を除く・開く)から bar は「遮る/塞ぐ」の意であり、圧力単位由来の「圧」は語根義として誤り。
confirmed,mid,jck_inconsistency,hidr,hidr/oid,zh|ko,ヒドラ,水,물,,水螅(ヒドラ),히드라,例語 hidr/oid(ヒドロ虫)の文脈では hidr=動物のヒドラを指し、JAは正しく「ヒドラ」だがZH/KOは別義「水」を当てており言語間で不整合。
confirmed,mid,mistranslation,oranĝ,oranĝ/uj,ja|zh|ko,オランジュ,奥朗日,오랑주,オレンジ(橙),橙,오렌지,例語 oranĝ/uj(=オレンジの木)から oranĝ は果物「オレンジ」の意だが、フランスの地名「オランジュ市」の音写を当てており例語と矛盾している。
confirmed,mid,root_faithfulness,maŭr,maŭr/uj,ja|zh|ko,マウレタニア,毛里塔尼亚,마우레타니아,ムーア人,摩尔人,무어인,語根 maŭr は「ムーア人」。例語 maŭr/uj は maŭr+uj(=ムーア人の国=マウレタニア)であり、接尾辞ujの「国」まで含めた全体語義を語根に当てている。
confirmed,mid,root_faithfulness,saturn,saturn/ism,ja|zh|ko,鉛中毒,铅中毒,납중독,鉛,铅,납,例語 saturn/ism(鉛中毒=saturnism)の「中毒」は接尾辞ism由来であり、語根 saturn(錬金術のサターン=鉛)は「鉛」であるべき。全体語義を語根に含めている。
confirmed,mid,jck_inconsistency,kanton,kanton,ja,広東,州郡,칸톤,州/カントン(行政区),,,kanton の共通義は行政区の「カントン」で、ZH「州郡」KO「칸톤」は行政区を指すが、JA「広東」は中国の地名Canton(広州)と取り違えており不整合。
confirmed,mid,root_faithfulness,kultur,infan/kultur,ja|zh|ko,育児,育儿,육아,養育(育成),养育(培育),양육(육성),例語 infan/kultur の「育児=子どもの養育」の「児(子ども)」部分は infan 由来。語根 kultur は「養育/栽培/文化」であり、子ども概念を含めるのは全体語義で語根忠実性違反。
confirmed,mid,mistranslation,ĥam,ĥam/id,zh|ko,ハム,火腿,햄,,含(ノアの子),함(노아의 아들),例語 ĥam/id(ハム族)の ĥam は聖書のノアの子「ハム」であり、ZH「火腿」・KO「햄」の食品ハム(=ŝinko)は誤訳。
confirmed,mid,mistranslation,kontraŭ,kontraŭ/sifilis,ja,向かって,对抗,반대,に反対して/抗-,,,kontraŭ は「～に反対して・抗-」の意(例 kontraŭ/sifilis=抗梅毒)。JA「向かって」は方向(～へ)を示し、ZH「对抗」KO「반대」の対立義とズレる。
confirmed,mid,jck_inconsistency,kard,felt/o/kard,zh,すく,蓟,머리카락을 빗다,,梳理/梳(羊毛),,例語(フェルトの梳毛)では kard=「梳く(kardi)」の動作。JA「すく」KO「머리카락을 빗다」は動作を示すが、ZH「蓟(アザミ)」は植物名で不一致。
confirmed,mid,learning_quality,pseŭd,pseŭd,ja,=kaŝ-,伪,가짜,偽/擬(にせ),,,pseŭd は「偽・擬(pseudo)」の意。JAの「=kaŝ-」は他語根への参照表記で訳になっておらず、kaŝ(隠す)とも意味が異なり学習上不適切。
confirmed,mid,mistranslation,ĉar,sid/ĉar/et,ja|zh|ko,~だから,因为,…이기 때문에,車/荷車,车/大车,수레,例語 sid/ĉar/et(乳母車)の ĉar は「車(ĉaro)」だが、全言語が接続詞「~だから(ĉar)」と訳しており例語の語義と不一致。
confirmed,mid,mistranslation,kaze,kaze/ig/il,ko,カード,酪,카드,,,응유/커드,kaze は「凝乳・カゼイン(kazeo)」の意(例 kaze/ig/il=凝乳剤)。KO「카드」は「カード(card)」を意味し誤りで、「커드/응유」とすべき。
